rank,country,sea_level_anomaly_2023_m,people_affected_sum_2005_2023,coastal_population_pct_10m_2023,sea_level_score,disaster_score,coastal_population_score,climate_impact_score
1,Fiji,0.1,1240734,28,0.5,1,0.28,0.593333
2,Marshall Islands,0.1,180333,96,0.5,0.145344,0.96,0.535115
3,Tuvalu,0.1,11023,91,0.5,0.008884,0.91,0.472961
4,Vanuatu,0.2,273840,12,1,0.220708,0.12,0.446903
5,Solomon Islands,0.1,562384,33,0.5,0.453267,0.33,0.427756
6,Nauru,0.1,6593,76,0.5,0.005314,0.76,0.421771
7,Kiribati,0.1,2987,74,0.5,0.002407,0.74,0.414136
8,French Polynesia,0.1,0,55,0.5,0,0.55,0.35
"9,""Micronesia, Federated State of"",0.1,44608,40,0.5,0.035953,0.4,0.311984"
10,Wallis and Futuna,0.1,0,38,0.5,0,0.38,0.293333
11,Tonga,0.1,89891,27,0.5,0.07245,0.27,0.280817
12,Cook Islands,0.1,5564,31,0.5,0.004484,0.31,0.271495
13,New Caledonia,0.1,7,31,0.5,0.000006,0.31,0.270002
14,Northern Mariana Islands,0.1,0,28,0.5,0,0.28,0.26
15,American Samoa,0.1,4044,25,0.5,0.003259,0.25,0.251086
16,Palau,0.1,37537,17,0.5,0.030254,0.17,0.233418
17,Papua New Guinea,0.1,99308,10,0.5,0.08004,0.1,0.22668
18,Samoa,0.1,29370,13,0.5,0.023671,0.13,0.21789
19,Guam,0.1,0,4,0.5,0,0.04,0.18
20,Niue,0.1,0,1,0.5,0,0.01,0.17
21,Tokelau,0.1,0,,0.5,0,,
