Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;SUM
Melanesia;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
Fiji;0;60;12;804;12692;6644;344;37085;0;0;0;633584;0;155726;78045;235921;78030;1787;;1240734
New Caledonia;NULL;NULL;NULL;NULL;0;NULL;0;NULL;NULL;NULL;NULL;NULL;4;0;1;2;NULL;NULL;NULL;7
Papua New Guinea;2;216;56284;36393;580;0;0;172;264;0;0;NULL;NULL;NULL;2100;3297;NULL;NULL;NULL;99308
Solomon Islands;NULL;0;21343;0;68;1456;36;216;7577;14831;185886;60858;51465;194155;1834;2339;240;20080;;562384
Vanuatu;0;0;4;60;422;500;248;28;0;152;0;;920;23286;18;246802;1400;NULL;NULL;273840
Micronesia;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
Guam;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
Kiribati;NULL;NULL;NULL;85;NULL;NULL;NULL;NULL;NULL;44;2507;0;NULL;0;3;15;333;NULL;NULL;2987
 Marshall Islands;NULL;0;;96;;;0;;0;280;0;27452;7029;0;35844;56718;0;52914;;180333
Micronesia, Federated States of;NULL;0;;0;0;;0;;;;7600;0;0;1266;20732;0;15010;;;44608
Nauru;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;63;1133;4;5393;;6593
Northern Mariana Islands;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;;;;;;;;;0
 Palau;NULL;NULL;NULL;NULL;0;;0;1528;;;0;11009;;;;;24220;780;;37537
Polynesia;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
American Samoa;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;0;0;;;3800;12;232;;;;4044
Cook Islands;1121;;0;;0;4443;;;;;;;;;;0;;;;5564
French Polynesia;;;0;;;;;;;;;;;;;;;;;0
Niue;;;;;;;;0;;;;;;;;0;;;;0
Samoa;0;0;;0;6332;;;0;0;0;0;0;;383;5700;195;15;16607;138;29370
Tokelau;0;;;;0;;0;;;;;;;;;;;;;0
Tonga;0;0;0;0;7;0;345;0;0;4520;0;0;0;84311;640;68;;;;89891
Tuvalu;;;;;;;0;;;;0;1003;0;0;0;2266;6;7748;;11023
Wallis and Futuna;;;;;;;;;;;;;;;;0;;;;0
