country;year;value;
Melanesia;;;
·  Fiji;2000;*   50,06;
·  Fiji;2001;*   40,44;
·  Fiji;2002;*   48,98;
·  Fiji;2003;*   40,83;
·  Fiji;2004;*   35,72;
·  Fiji;2005;*   40,02;
·  Fiji;2006;*   39,07;
·  Fiji;2007;*   36,04;
·  Fiji;2008;*   42,13;
·  Fiji;2009;*   41,62;
·  Fiji;2010;*   27,95;
·  Fiji;2011;*   33,38;
·  Fiji;2012;*   33,26;
·  Fiji;2013;*   32,81;
·  Fiji;2014;*   33,17;
·  Fiji;2015;*   28,55;
·  Fiji;2016;*   24,64;
·  Fiji;2017;*   26,03;
·  Fiji;2018;*   24,41;
·  Fiji;2019;*   24,78;
·  Fiji;2020;*   25,03;
·  Fiji;2021;*   29,92;
·  Fiji;2022;*   26,67;
·  New Caledonia;2000;*   7,54;
·  New Caledonia;2001;*   6,72;
·  New Caledonia;2002;*   5,28;
·  New Caledonia;2003;*   4,93;
·  New Caledonia;2004;*   5,2;
·  New Caledonia;2005;*   5,08;
·  New Caledonia;2006;*   4,52;
·  New Caledonia;2007;*   5,82;
·  New Caledonia;2008;*   7,78;
·  New Caledonia;2009;*   6,95;
·  New Caledonia;2010;*   4,85;
·  New Caledonia;2011;*   5,93;
·  New Caledonia;2012;*   6,17;
·  New Caledonia;2013;*   6,56;
·  New Caledonia;2014;*   4,29;
·  New Caledonia;2015;*   5,09;
·  New Caledonia;2016;*   3,7;
·  New Caledonia;2017;*   5,1;
·  New Caledonia;2018;*   4,63;
·  New Caledonia;2019;*   5,24;
·  New Caledonia;2020;*   6,06;
·  New Caledonia;2021;*   8,33;
·  New Caledonia;2022;*   9,6;
·  Papua New Guinea;2000;*   66,38;
·  Papua New Guinea;2001;*   63,44;
·  Papua New Guinea;2002;*   62,49;
·  Papua New Guinea;2003;*   60,52;
·  Papua New Guinea;2004;*   57,6;
·  Papua New Guinea;2005;*   58,56;
·  Papua New Guinea;2006;*   58,86;
·  Papua New Guinea;2007;*   56,92;
·  Papua New Guinea;2008;*   56,85;
·  Papua New Guinea;2009;*   55,99;
·  Papua New Guinea;2010;*   55,19;
·  Papua New Guinea;2011;*   54,63;
·  Papua New Guinea;2012;*   55,29;
·  Papua New Guinea;2013;*   56,38;
·  Papua New Guinea;2014;*   54,91;
·  Papua New Guinea;2015;*   53,28;
·  Papua New Guinea;2016;*   52,72;
·  Papua New Guinea;2017;*   52,52;
·  Papua New Guinea;2018;*   51,19;
·  Papua New Guinea;2019;*   51,09;
·  Papua New Guinea;2020;*   51,39;
·  Papua New Guinea;2021;*   51,62;
·  Papua New Guinea;2022;*   50,78;
·  Solomon Islands;2000;*   55,26;
·  Solomon Islands;2001;*   54,14;
·  Solomon Islands;2002;*   52,82;
·  Solomon Islands;2003;*   51,46;
·  Solomon Islands;2004;*   49,91;
·  Solomon Islands;2005;*   49,7;
·  Solomon Islands;2006;*   48,93;
·  Solomon Islands;2007;*   47,42;
·  Solomon Islands;2008;*   46,69;
·  Solomon Islands;2009;*   45,79;
·  Solomon Islands;2010;*   45,07;
·  Solomon Islands;2011;*   43,61;
·  Solomon Islands;2012;*   43,82;
·  Solomon Islands;2013;*   41,83;
·  Solomon Islands;2014;*   45,89;
·  Solomon Islands;2015;*   48,64;
·  Solomon Islands;2016;*   48,7;
·  Solomon Islands;2017;*   48,98;
·  Solomon Islands;2018;*   48,64;
·  Solomon Islands;2019;*   48,36;
·  Solomon Islands;2020;*   49,03;
·  Solomon Islands;2021;*   49,13;
·  Solomon Islands;2022;*   50,08;
·  Vanuatu;2000;*   49,49;
·  Vanuatu;2001;*   51,26;
·  Vanuatu;2002;*   53,33;
·  Vanuatu;2003;*   52,73;
·  Vanuatu;2004;*   55,36;
·  Vanuatu;2005;*   54,91;
·  Vanuatu;2006;*   55,28;
·  Vanuatu;2007;*   51,61;
·  Vanuatu;2008;*   52,06;
·  Vanuatu;2009;*   38,66;
·  Vanuatu;2010;*   38,08;
·  Vanuatu;2011;*   35,75;
·  Vanuatu;2012;*   38,98;
·  Vanuatu;2013;*   40,92;
·  Vanuatu;2014;*   31,51;
·  Vanuatu;2015;*   35,62;
·  Vanuatu;2016;*   33,1;
·  Vanuatu;2017;*   35,35;
·  Vanuatu;2018;*   29,4;
·  Vanuatu;2019;*   31,52;
·  Vanuatu;2020;*   25,91;
·  Vanuatu;2021;*   24,25;
·  Vanuatu;2022;*   27,56;
Micronesia;;;
·  Guam;2000;*   0,41;
·  Guam;2001;*   0,41;
·  Guam;2002;*   0,45;
·  Guam;2003;*   0,5;
·  Guam;2004;*   0,46;
·  Guam;2005;*   0,45;
·  Guam;2006;*   0,45;
·  Guam;2007;*   0,45;
·  Guam;2008;*   0,45;
·  Guam;2009;*   0,46;
·  Guam;2010;*   0,47;
·  Guam;2011;*   0,49;
·  Guam;2012;*   0,53;
·  Guam;2013;*   0,59;
·  Guam;2014;*   0,67;
·  Guam;2015;*   2,32;
·  Guam;2016;*   4,38;
·  Guam;2017;*   3,9;
·  Guam;2018;*   4,49;
·  Guam;2019;*   4,47;
·  Guam;2020;*   4,58;
·  Guam;2021;*   4,5;
·  Guam;2022;*   6,52;
·  Kiribati;2000;*   54,73;
·  Kiribati;2001;*   56,39;
·  Kiribati;2002;*   53,05;
·  Kiribati;2003;*   50,52;
·  Kiribati;2004;*   50,55;
·  Kiribati;2005;*   48,51;
·  Kiribati;2006;*   48,12;
·  Kiribati;2007;*   48,42;
·  Kiribati;2008;*   49,74;
·  Kiribati;2009;*   50,44;
·  Kiribati;2010;*   50,14;
·  Kiribati;2011;*   50,51;
·  Kiribati;2012;*   48,73;
·  Kiribati;2013;*   46,16;
·  Kiribati;2014;*   47,98;
·  Kiribati;2015;*   47,48;
·  Kiribati;2016;*   48,1;
·  Kiribati;2017;*   42,51;
·  Kiribati;2018;*   42,31;
·  Kiribati;2019;*   42,19;
·  Kiribati;2020;*   42,24;
·  Kiribati;2021;*   42,23;
·  Kiribati;2022;*   41,86;
·  Marshall Islands;2000;*   19,57;
·  Marshall Islands;2001;*   19,08;
·  Marshall Islands;2002;*   18,63;
·  Marshall Islands;2003;*   18,56;
·  Marshall Islands;2004;*   18,4;
·  Marshall Islands;2005;*   18,38;
·  Marshall Islands;2006;*   16,96;
·  Marshall Islands;2007;*   15,21;
·  Marshall Islands;2008;*   14,78;
·  Marshall Islands;2009;*   13,96;
·  Marshall Islands;2010;*   13,72;
·  Marshall Islands;2011;*   12,35;
·  Marshall Islands;2012;*   12,03;
·  Marshall Islands;2013;*   12,37;
·  Marshall Islands;2014;*   11,74;
·  Marshall Islands;2015;*   11,32;
·  Marshall Islands;2016;*   11,75;
·  Marshall Islands;2017;*   11,74;
·  Marshall Islands;2018;*   11,72;
·  Marshall Islands;2019;*   11,7;
·  Marshall Islands;2020;*   11,62;
·  Marshall Islands;2021;*   11,89;
·  Marshall Islands;2022;*   11,68;
·  Micronesia (Federated States of);2000;*   1,27;
·  Micronesia (Federated States of);2001;*   1,41;
·  Micronesia (Federated States of);2002;*   1,6;
·  Micronesia (Federated States of);2003;*   0,86;
·  Micronesia (Federated States of);2004;*   1,02;
·  Micronesia (Federated States of);2005;*   1,35;
·  Micronesia (Federated States of);2006;*   1,37;
·  Micronesia (Federated States of);2007;*   1,19;
·  Micronesia (Federated States of);2008;*   1,44;
·  Micronesia (Federated States of);2009;*   1,15;
·  Micronesia (Federated States of);2010;*   1,95;
·  Micronesia (Federated States of);2011;*   1,57;
·  Micronesia (Federated States of);2012;*   1,42;
·  Micronesia (Federated States of);2013;*   1,41;
·  Micronesia (Federated States of);2014;*   1,51;
·  Micronesia (Federated States of);2015;*   1,71;
·  Micronesia (Federated States of);2016;*   1,87;
·  Micronesia (Federated States of);2017;*   1,72;
·  Micronesia (Federated States of);2018;*   2;
·  Micronesia (Federated States of);2019;*   1,98;
·  Micronesia (Federated States of);2020;*   1,89;
·  Micronesia (Federated States of);2021;*   1,84;
·  Micronesia (Federated States of);2022;*   2,05;
·  Naoero;2000;*   0;
·  Naoero;2001;*   0;
·  Naoero;2002;*   0;
·  Naoero;2003;*   0;
·  Naoero;2004;*   0;
·  Naoero;2005;*   0;
·  Naoero;2006;*   0,07;
·  Naoero;2007;*   0,08;
·  Naoero;2008;*   0,08;
·  Naoero;2009;*   0,04;
·  Naoero;2010;*   0,03;
·  Naoero;2011;*   0,05;
·  Naoero;2012;*   0,07;
·  Naoero;2013;*   0,06;
·  Naoero;2014;*   0,05;
·  Naoero;2015;*   0,1;
·  Naoero;2016;*   0,18;
·  Naoero;2017;*   0,6;
·  Naoero;2018;*   0,66;
·  Naoero;2019;*   0,59;
·  Naoero;2020;*   1,34;
·  Naoero;2021;*   1,72;
·  Naoero;2022;*   1,75;
·  Northern Mariana Islands;2000;*   0;
·  Northern Mariana Islands;2001;*   0;
·  Northern Mariana Islands;2002;*   0;
·  Northern Mariana Islands;2003;*   0;
·  Northern Mariana Islands;2004;*   0;
·  Northern Mariana Islands;2005;*   0;
·  Northern Mariana Islands;2006;*   0;
·  Northern Mariana Islands;2007;*   0;
·  Northern Mariana Islands;2008;*   0;
·  Northern Mariana Islands;2009;*   0;
·  Northern Mariana Islands;2010;*   0;
·  Northern Mariana Islands;2011;*   0;
·  Northern Mariana Islands;2012;*   0;
·  Northern Mariana Islands;2013;*   0;
·  Northern Mariana Islands;2014;*   0;
·  Northern Mariana Islands;2015;*   0;
·  Northern Mariana Islands;2016;*   0;
·  Northern Mariana Islands;2017;*   0;
·  Northern Mariana Islands;2018;*   0;
·  Northern Mariana Islands;2019;*   0;
·  Northern Mariana Islands;2020;*   0,51;
·  Northern Mariana Islands;2021;*   0,67;
·  Northern Mariana Islands;2022;*   0,69;
·  Palau;2000;*   0;
·  Palau;2001;*   0;
·  Palau;2002;*   0;
·  Palau;2003;*   0;
·  Palau;2004;*   0;
·  Palau;2005;*   0;
·  Palau;2006;*   0;
·  Palau;2007;*   0;
·  Palau;2008;*   0;
·  Palau;2009;*   0;
·  Palau;2010;*   0;
·  Palau;2011;*   0;
·  Palau;2012;*   0;
·  Palau;2013;*   0;
·  Palau;2014;*   0,27;
·  Palau;2015;*   0,37;
·  Palau;2016;*   0,57;
·  Palau;2017;*   0,56;
·  Palau;2018;*   0,59;
·  Palau;2019;*   0,56;
·  Palau;2020;*   0,58;
·  Palau;2021;*   0,58;
·  Palau;2022;*   0,58;
Polynesia;;;
·  American Samoa;2000;*   0;
·  American Samoa;2001;*   0;
·  American Samoa;2002;*   0;
·  American Samoa;2003;*   0;
·  American Samoa;2004;*   0;
·  American Samoa;2005;*   0;
·  American Samoa;2006;*   0;
·  American Samoa;2007;*   0;
·  American Samoa;2008;*   0;
·  American Samoa;2009;*   0;
·  American Samoa;2010;*   0;
·  American Samoa;2011;*   0;
·  American Samoa;2012;*   0,09;
·  American Samoa;2013;*   0,16;
·  American Samoa;2014;*   0,16;
·  American Samoa;2015;*   0,17;
·  American Samoa;2016;*   0,21;
